Field of Study;Age;Gender;Education Level;Years of Experience;Family Influence
Medicine;48;Male;High School;7;High
Education;44;Male;Master's;26;Medium
Education;21;Female;Master's;27;Low
Education;33;Male;PhD;14;Medium
Arts;28;Female;PhD;0;Low
Medicine;56;Male;Bachelor's;39;Medium
Medicine;51;Female;High School;29;High
Medicine;58;Female;High School;32;Medium
Computer Science;31;Female;Bachelor's;38;Medium
Business;30;Female;Master's;16;High
Business;52;Female;Bachelor's;38;High
Arts;54;Male;Master's;15;High
Mechanical Engineering;54;Female;High School;35;Low
Biology;47;Male;High School;32;Low
Computer Science;40;Female;High School;22;Low
Law;28;Male;High School;38;Medium
Mechanical Engineering;41;Male;Bachelor's;24;Medium
Economics;49;Male;Master's;34;Medium
Education;53;Female;PhD;24;Low
Computer Science;24;Female;Bachelor's;15;Low
Biology;35;Female;Master's;15;Medium
Mechanical Engineering;42;Male;PhD;25;Low
Business;56;Male;PhD;23;Medium
Computer Science;39;Female;Bachelor's;24;Medium
Arts;40;Female;PhD;22;None
Computer Science;26;Female;PhD;12;Low
Business;50;Male;Master's;38;High
Arts;44;Female;Bachelor's;32;Medium
Biology;22;Female;High School;22;Low
Computer Science;52;Male;High School;19;Low
Mechanical Engineering;30;Male;Master's;25;None
Medicine;56;Female;Master's;9;High
Psychology;31;Male;Bachelor's;4;Medium
Mechanical Engineering;57;Male;Master's;23;High
Psychology;42;Male;Master's;15;Medium
Economics;25;Male;High School;4;Low
Computer Science;34;Male;Bachelor's;21;Medium
Psychology;34;Female;Master's;24;None
Economics;27;Female;Bachelor's;18;None
Medicine;22;Male;PhD;30;Medium
Education;24;Female;Bachelor's;25;None
Education;42;Female;High School;1;Low
Law;53;Female;Master's;34;Low
Arts;44;Female;PhD;39;Medium
Psychology;27;Female;Master's;14;None
Education;57;Male;Master's;30;High
Business;59;Female;PhD;5;High
Computer Science;28;Female;Bachelor's;28;Low
Biology;29;Female;High School;25;Medium
Business;43;Male;Master's;28;High
Computer Science;38;Female;Bachelor's;31;Low
Medicine;22;Female;Bachelor's;9;None
Biology;52;Female;Bachelor's;7;None
Psychology;55;Male;Bachelor's;17;High
Education;43;Male;Bachelor's;9;Medium
Economics;40;Female;High School;35;Low
Biology;29;Male;Bachelor's;16;None
Mechanical Engineering;43;Female;High School;21;Low
Computer Science;44;Male;Bachelor's;39;Low
Education;31;Female;PhD;15;High
Medicine;42;Female;Bachelor's;20;None
Law;53;Male;Master's;36;None
Education;49;Male;High School;12;High
Business;20;Female;High School;2;None
Economics;43;Male;Bachelor's;12;None
Psychology;25;Male;Bachelor's;4;Medium
Arts;23;Female;Bachelor's;36;High
Law;45;Female;High School;5;High
Arts;55;Male;Bachelor's;26;Low
Arts;59;Male;PhD;33;None
Education;20;Female;PhD;25;None
Medicine;53;Female;High School;33;Low
Business;38;Male;Master's;4;None
Law;26;Male;PhD;28;None
Biology;43;Female;PhD;10;High
Arts;31;Male;Master's;31;Low
Mechanical Engineering;58;Female;Bachelor's;14;Low
Medicine;35;Female;Bachelor's;5;High
Medicine;51;Male;Bachelor's;17;Medium
Education;39;Male;PhD;3;Low
Psychology;31;Male;PhD;17;Low
Law;44;Female;Master's;1;High
Education;31;Female;High School;0;High
Mechanical Engineering;28;Male;PhD;36;None
Arts;50;Female;PhD;22;High
Mechanical Engineering;45;Male;Bachelor's;9;None
Education;25;Male;High School;8;Low
Medicine;40;Male;PhD;0;Medium
Psychology;45;Female;Bachelor's;1;Medium
Biology;55;Male;PhD;14;Low
Mechanical Engineering;32;Female;High School;25;Low
Education;41;Female;Bachelor's;20;High
Medicine;44;Female;PhD;18;Medium
Arts;44;Female;Master's;34;High
Law;52;Female;High School;2;High
Psychology;25;Female;PhD;22;High
Medicine;35;Female;PhD;7;Low
Computer Science;21;Male;Bachelor's;20;High
Education;37;Male;Bachelor's;34;Medium
Arts;52;Female;Bachelor's;30;Low
Mechanical Engineering;38;Male;Master's;4;Medium
Computer Science;58;Female;PhD;28;Low
Biology;42;Female;High School;38;None
Business;37;Female;High School;34;None
Biology;53;Female;PhD;21;Medium
Computer Science;39;Male;Bachelor's;39;None
Law;28;Female;Bachelor's;14;Medium
Biology;30;Female;High School;14;High
Education;58;Male;High School;11;Medium
Mechanical Engineering;34;Female;Bachelor's;26;High
Education;35;Female;PhD;0;Low
Education;31;Male;Bachelor's;13;High
Education;57;Male;Master's;39;Medium
Business;43;Female;Bachelor's;29;Low
Computer Science;47;Male;High School;10;Medium
Mechanical Engineering;32;Male;Bachelor's;29;Medium
Business;58;Female;High School;34;None
Law;35;Female;Bachelor's;30;Low
Law;43;Male;High School;6;Medium
Computer Science;23;Male;Bachelor's;6;Medium
Biology;41;Female;Bachelor's;1;Medium
Business;34;Female;High School;39;None
Psychology;58;Female;High School;22;High
Business;31;Female;PhD;6;High
Psychology;31;Male;High School;15;Low
Mechanical Engineering;24;Male;High School;27;Medium
Biology;45;Female;High School;32;Medium
Mechanical Engineering;54;Female;Master's;27;High
Biology;33;Female;High School;11;Medium
Psychology;44;Female;Bachelor's;23;Medium
Arts;33;Female;High School;37;High
Law;41;Male;High School;15;None
Business;36;Female;PhD;23;None
Business;31;Male;Bachelor's;2;Low
Psychology;20;Male;High School;28;None
Biology;28;Female;High School;36;None
Law;31;Male;High School;32;Low
Business;56;Male;PhD;27;Low
Medicine;39;Female;High School;26;Medium
Medicine;57;Female;Bachelor's;20;Low
Law;55;Female;PhD;32;Medium
Biology;53;Female;Bachelor's;11;Medium
Economics;49;Female;Bachelor's;36;None
Arts;32;Female;High School;21;Low
Law;32;Male;Master's;33;None
Mechanical Engineering;31;Female;Bachelor's;20;High
Education;57;Male;Bachelor's;32;High
Computer Science;52;Female;Master's;7;None
Law;49;Male;Master's;29;Medium
Computer Science;54;Female;Master's;39;Medium
Mechanical Engineering;36;Male;Bachelor's;33;Medium
Computer Science;49;Male;High School;12;Medium
Business;43;Male;Bachelor's;21;Low
Education;37;Female;Bachelor's;21;High
Psychology;25;Female;Master's;11;Medium
Arts;39;Male;PhD;18;High
Mechanical Engineering;28;Female;Bachelor's;10;Medium
Computer Science;40;Female;High School;34;Low
Computer Science;43;Male;PhD;24;High
Economics;51;Female;High School;24;High
Business;22;Male;Bachelor's;28;High
Medicine;45;Male;Master's;9;None
Education;24;Female;PhD;10;Low
Law;36;Female;High School;10;High
Medicine;37;Female;PhD;5;None
Law;41;Male;PhD;21;High
Psychology;55;Male;Bachelor's;26;Low
Business;46;Female;High School;3;Medium
Business;30;Female;Master's;20;None
Medicine;46;Female;Master's;14;Low
Law;42;Male;Master's;4;None
Economics;47;Female;Master's;37;None
Economics;40;Female;Master's;15;None
Biology;57;Male;Master's;0;Medium
Arts;32;Female;PhD;5;Medium
Psychology;33;Female;Bachelor's;32;None
Psychology;44;Female;PhD;30;Low
Biology;46;Female;Bachelor's;16;Low
Economics;34;Male;Master's;13;None
Arts;37;Female;High School;19;High
Economics;38;Female;Master's;34;None
Education;34;Male;Master's;21;None
Economics;36;Female;Bachelor's;26;High
Biology;51;Female;High School;32;None
Business;22;Female;High School;37;Medium
Biology;57;Female;PhD;39;None
Medicine;33;Female;Bachelor's;0;None
Arts;43;Male;Master's;31;None
Biology;42;Male;Master's;11;Medium
Economics;52;Female;Bachelor's;16;High
Economics;27;Male;Master's;8;None
Law;36;Male;High School;12;None
Arts;47;Male;High School;0;None
Law;25;Female;PhD;39;Medium
Medicine;30;Female;Master's;30;High
Computer Science;56;Male;Master's;28;High
Law;59;Male;Bachelor's;1;High
Education;26;Female;Master's;9;High
Law;25;Male;Master's;39;Low
Computer Science;30;Male;Master's;20;High
Psychology;23;Male;Master's;28;Medium
Mechanical Engineering;39;Female;Bachelor's;24;High
Computer Science;23;Male;PhD;14;Medium
Education;56;Male;Bachelor's;37;Low
Biology;43;Female;Master's;8;Low
Mechanical Engineering;26;Female;Master's;33;Low
Education;47;Male;High School;35;Medium
Law;54;Female;High School;22;None
Medicine;32;Male;High School;31;Medium
Law;56;Female;High School;18;Medium
Economics;27;Female;Bachelor's;5;Low
Business;39;Female;High School;12;Low
Arts;21;Female;Master's;17;Low
Medicine;49;Male;Bachelor's;8;None
Education;30;Male;High School;30;Low
Computer Science;21;Male;Master's;39;Medium
Arts;38;Female;Bachelor's;34;High
Medicine;53;Male;Bachelor's;23;High
Mechanical Engineering;50;Female;PhD;19;Low
Business;34;Female;Bachelor's;14;High
Arts;27;Male;High School;10;None
Education;47;Female;High School;29;High
Economics;40;Male;Bachelor's;16;Low
Computer Science;54;Female;High School;5;Low
Medicine;54;Male;Master's;34;None
Law;45;Female;High School;31;High
Economics;24;Male;Master's;28;None
Business;22;Female;Master's;10;High
Medicine;37;Male;Master's;8;None
Arts;33;Male;Bachelor's;33;High
Biology;35;Female;PhD;11;Low
Biology;35;Female;Bachelor's;27;High
Biology;46;Male;PhD;28;Low
Business;28;Male;Bachelor's;18;Medium
Arts;50;Male;Master's;3;Medium
Computer Science;40;Female;Bachelor's;6;Low
Psychology;46;Male;High School;1;High
Arts;46;Male;Bachelor's;15;Low
Law;46;Female;High School;30;Low
Business;33;Male;High School;15;High
